Begin	End	Name	Symbol	Gene Type
2089996	2090046	his operon leader peptide	hisL	protein-coding
2090192	2091091	ATP phosphoribosyltransferase	hisG	protein-coding
2091097	2092401	histidinal/histidinol dehydrogenase	hisD	protein-coding
2092398	2093468	histidinol-phosphate aminotransferase	hisC	protein-coding
2093468	2094535	imidazoleglycerol-phosphate dehydratase/histidinol-phosphatase	hisB	protein-coding
2094535	2095125	imidazole glycerol phosphate synthase subunit HisH	hisH	protein-coding
2095125	2095862	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase	hisA	protein-coding
2095844	2096620	imidazole glycerol phosphate synthase subunit HisF	hisF	protein-coding
2096614	2097225	putative bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase	hisI	protein-coding
2097321	2098301	O-antigen co-polymerase	wzzB	protein-coding
2098447	2099613	UDP-glucose 6-dehydrogenase	ugd	protein-coding
2099862	2101268	6-phosphogluconate dehydrogenase, decarboxylating	gnd	protein-coding
2101396	2103389	uncharacterized gene	wbbL	pseudogene
2101895	2102875	IS5 family transposase and trans-activator	insH7	protein-coding
2103391	2104509	putative glycosyltransferase WbbK	wbbK	protein-coding
2104494	2105084	putative lipopolysaccharide biosynthesis O-acetyl transferase WbbJ	wbbJ	protein-coding
2105065	2106057	beta-1,6-galactofuranosyltransferase WbbI	wbbI	protein-coding
2106060	2107226	putative O-antigen polymerase	wbbH	protein-coding
2107226	2108329	UDP-galactopyranose mutase	glf	protein-coding
2108337	2109584	polyisoprenol-linked O16-antigen repeat unit flippase	rfbX	protein-coding
2109581	2110138	dTDP-4-dehydrorhamnose 3,5-epimerase	rfbC	protein-coding
2110138	2111019	glucose-1-phosphate thymidylyltransferase 1	rfbA	protein-coding
2111077	2111976	dTDP-4-dehydrorhamnose reductase	rfbD	protein-coding
2111976	2113061	dTDP-glucose 4,6-dehydratase 1	rfbB	protein-coding
2113434	2114327	UTP:glucose-1-phosphate uridylyltransferase, low activity	galF	protein-coding
2114502	2115896	putative colanic acid biosynthesis protein WcaM	wcaM	protein-coding
2115907	2117127	putative colanic acid biosynthesis glycosyl transferase WcaL	wcaL	protein-coding
2117124	2118404	colanic acid biosynthesis pyruvyl transferase WcaK	wcaK	protein-coding
2118680	2120158	colanic acid repeat unit flippase	wzxC	protein-coding
2120160	2121554	UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase	wcaJ	protein-coding
2121609	2122979	phosphomannomutase	cpsG	protein-coding
2123084	2124520	mannose-1-phosphate guanylyltransferase	cpsB	protein-coding
2124523	2125746	colanic acid biosynthesis fucosyltransferase WcaI	wcaI	protein-coding
2125743	2126222	GDP-mannose mannosyl hydrolase	gmm	protein-coding
2126225	2127190	GDP-L-fucose synthase	fcl	protein-coding
2127193	2128314	GDP-mannose 4,6-dehydratase	gmd	protein-coding
2128340	2128888	colanic acid biosynthesis acetyltransferase WcaF	wcaF	protein-coding
2128904	2129650	GDP-Fuc:2/3-O-Ac-alpha-L-Fuc-(1->3)-alpha-D-Glc-PP-Und alpha-(1,4)-fucosyltransferase	wcaE	protein-coding
2129661	2130878	colanic acid polymerase	wcaD	protein-coding
2130853	2132070	colanic acid biosynthesis galactosyltransferase WcaC	wcaC	protein-coding
2132067	2132555	colanic acid biosynthesis acetyltransferase WcaB	wcaB	protein-coding
2132558	2133397	UDP-glucuronate:2-O-Ac-beta-D-Gal-(1->3)-alpha-L-Fuc-(1->4)-2/3-O-Ac-alpha-L-Fuc-(1->3)-beta-D-Glc-PP-Und beta-(1,3)-glucuronosyltransferase	wcaA	protein-coding
2133490	2135652	protein-tyrosine kinase Wzc	wzc	protein-coding
2135655	2136098	protein-tyrosine phosphatase	wzb	protein-coding
2136104	2137243	outer membrane polysaccharide export protein Wza	wza	protein-coding
2137902	2139485	inner membrane protein YegH	yegH	protein-coding
2139759	2141612	putative assembly protein AsmA	asmA	protein-coding
2141634	2142215	dCTP deaminase	dcd	protein-coding
2142307	2142948	uridine/cytidine kinase	udk	protein-coding
2143266	2146583	putative diguanylate cyclase DgcE	dgcE	protein-coding
2146692	2147540	DNA-3-methyladenine glycosylase 2	alkA	protein-coding
2147674	2149026	HSP70 family protein YegD	yegD	protein-coding
2149039	2150985	putative serine/threonine-protein kinase YegI	yegI	protein-coding
2151185	2151646	DUF2314 domain-containing protein YegJ	yegJ	protein-coding
2151711	2152472	protein-serine/threonine phosphatase PphC	pphC	protein-coding
2152469	2153128	IPR002035 domain-containing protein YegL	yegL	protein-coding
2153311	2153454	small RNA SibA	sibA	ncRNA
2153349	2153408	toxic peptide IbsA	ibsA	protein-coding
2153646	2153781	small RNA SibB	sibB	ncRNA
2153681	2153737	putative toxic peptide IbsB	ibsB	protein-coding
2154016	2155263	multidrug efflux pump membrane fusion protein MdtA	mdtA	protein-coding
2155263	2158385	multidrug efflux pump RND permease subunit MdtB	mdtB	protein-coding
2158386	2161463	multidrug efflux pump RND permease subunit MdtC	mdtC	protein-coding
2161464	2162879	putative multidrug efflux pump MdtD	mdtD	protein-coding
2162876	2164279	sensor histidine kinase BaeS	baeS	protein-coding
2164276	2164998	DNA-binding transcriptional activator BaeR	baeR	protein-coding
2165189	2165521	DUF1508 domain-containing protein YegP	yegP	protein-coding
2165668	2167029	tRNA wobble base hydroxylation protein TrhP	trhP	protein-coding
2167114	2167200	small regulatory RNA CyaR	cyaR	ncRNA
2167302	2167520	prophage P2 late control protein OgrK	ogrK	protein-coding
2167602	2167820	uncharacterized gene	yegZ	pseudogene
2167989	2168306	uncharacterized protein YegR	yegR	protein-coding
2168712	2169611	lipid kinase YegS	yegS	protein-coding
2169693	2171727	uncharacterized gene	gatR	pseudogene
2170236	2170535	IS3 element protein InsE	insE5	protein-coding
2170532	2171398	IS3 element protein InsF	insF5	protein-coding
2171833	2172873	galactitol-1-phosphate 5-dehydrogenase	gatD	protein-coding
2172921	2174278	uncharacterized gene	gatC	pseudogene
2174282	2174566	galactitol-specific PTS enzyme IIB component	gatB	protein-coding
2174597	2175049	galactitol-specific PTS enzyme IIA component	gatA	protein-coding
2175059	2176321	putative tagatose-1,6-bisphosphate aldolase 2 chaperone	gatZ	protein-coding
2176350	2177204	tagatose-1,6-bisphosphate aldolase 2	gatY	protein-coding
2177512	2178564	fructose-bisphosphate aldolase class I	fbaB	protein-coding
2178821	2180098	putative transporter YegT	yegT	protein-coding
2180095	2181099	putative ADP-ribosylglycohydrolase YegU	yegU	protein-coding
2181096	2182061	putative sugar kinase YegV	yegV	protein-coding
2182035	2182781	putative DNA-binding transcriptional regulator YegW	yegW	protein-coding
2182833	2183651	putative glycosyl hydrolase YegX	yegX	protein-coding
2183716	2184516	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	thiD	protein-coding
2184513	2185301	hydroxyethylthiazole kinase	thiM	protein-coding
2185524	2185796	DNA-binding transcriptional repressor RcnR	rcnR	protein-coding
2185917	2186741	Ni(2(+))/Co(2(+)) exporter	rcnA	protein-coding
2186960	2187298	periplasmic protein involved in nickel/cobalt export	rcnB	protein-coding
2187380	2188414	putative fimbrial adhesin YehA	yehA	protein-coding
2188430	2190910	putative fimbrial usher protein YehB	yehB	protein-coding
2190926	2191645	putative fimbrial chaperone YehC	yehC	protein-coding
2191680	2192222	putative fimbrial protein YehD	yehD	protein-coding
2192515	2192796	DUF2574 domain-containing protein YehE	yehE	protein-coding
2193059	2194168	P-loop NTPase family protein Mrp	mrp	protein-coding
2194300	2196333	methionine--tRNA ligase	metG	protein-coding
2196474	2197298	PF05406 family protein YehF	yehF	protein-coding
2197410	2200269	uncharacterized gene	yehH	pseudogene
2200279	2203911	DUF4132 domain-containing protein YehI	yehI	protein-coding
2203972	2204289	uncharacterized protein YehK	yehK	protein-coding
2204596	2205684	putative AAA(+) MoxR family ATPase YehL	yehL	protein-coding
2205695	2207974	uncharacterized protein YehM	yehM	protein-coding
2207967	2209103	VWA domain-containing protein YehP	yehP	protein-coding
2209100	2210944	SWIM zinc finger domains-containing protein YehQ	yehQ	protein-coding
2211225	2211686	DUF1307 domain-containing lipoprotein YehR	yehR	protein-coding
2211726	2212196	DUF1456 domain-containing protein YehS	yehS	protein-coding
2212243	2212962	DNA-binding transcriptional dual regulator BtsR	btsR	protein-coding
2212959	2214644	high-affinity pyruvate receptor	btsS	protein-coding
2214866	2215597	DNA-binding transcriptional activator MlrA	mlrA	protein-coding
2215657	2215764	UPF0387 family protein YohO	yohO	protein-coding
2215745	2216476	glycine betaine ABC transporter membrane subunit YehW	yehW	protein-coding
2216481	2217407	glycine betaine ABC transporter ATP binding subunit YehX	yehX	protein-coding
2217400	2218557	glycine betaine ABC transporter membrane subunit YehY	yehY	protein-coding
2218564	2219481	glycine betaine ABC transporter periplasmic binding protein OsmF	osmF	protein-coding
2219692	2221989	beta-D-glucoside glucohydrolase, periplasmic	bglX	protein-coding
2222185	2223900	quinone-dependent D-lactate dehydrogenase	dld	protein-coding
2223938	2224870	peptidoglycan DD-endopeptidase PbpG	pbpG	protein-coding
2225044	2225631	putative inner membrane protein	yohC	protein-coding
2225801	2226379	DedA family protein YohD	yohD	protein-coding
2226509	2227270	putative oxidoreductase YohF	yohF	protein-coding
2227323	2228758	uncharacterized gene	mdtQ	pseudogene
2228982	2229065	putative membrane protein YohP	yohP	protein-coding
2229438	2230385	tRNA-dihydrouridine(16) synthase	dusC	protein-coding
2230624	2231022	putative 3-hydroxypropanoate export protein YohJ	yohJ	protein-coding
2231019	2231714	putative 3-hydroxypropanoate export protein YohK	yohK	protein-coding
2231844	2232728	cytidine/deoxycytidine deaminase	cdd	protein-coding
2232878	2233597	DUF218 domain-containing protein SanA	sanA	protein-coding
2233600	2233839	DUF2542 domain-containing protein YeiS	yeiS	protein-coding
2234033	2235271	dihydropyrimidine dehydrogenase (NAD(+)) subunit PreT	preT	protein-coding
2235265	2236500	dihydropyrimidine dehydrogenase (NAD(+)) subunit PreA	preA	protein-coding
2236743	2237753	D-galactose/methyl-galactoside ABC transporter membrane subunit	mglC	protein-coding
2237769	2239289	D-galactose/methyl-galactoside ABC transporter ATP binding subunit	mglA	protein-coding
2239350	2240348	D-galactose/methyl-galactoside ABC transporter periplasmic binding protein	mglB	protein-coding
2240628	2241668	DNA-binding transcriptional dual regulator GalS	galS	protein-coding
2241810	2242967	DUF418 domain-containing protein YeiB	yeiB	protein-coding
2242984	2243652	GTP cyclohydrolase 1	folE	protein-coding
2243910	2244746	S-formylglutathione hydrolase/S-lactoylglutathione hydrolase	yeiG	protein-coding
2244778	2246769	iron-catecholate outer membrane transporter CirA	cirA	protein-coding
2247063	2248532	lysine:H(+) symporter	lysP	protein-coding
2248737	2249618	DNA-binding transcriptional regulator YeiE	yeiE	protein-coding
2249717	2250766	PF03601 family inner membrane protein YeiH	yeiH	protein-coding
2250840	2251697	endonuclease IV	nfo	protein-coding
2251700	2252788	putative sugar kinase YeiI	yeiI	protein-coding
2252895	2254145	putative nucleoside transporter	nupX	protein-coding
2254245	2255186	pyrimidine-specific ribonucleoside hydrolase RihB	rihB	protein-coding
2255355	2256014	DNA-binding transcriptional activator YeiL	yeiL	protein-coding
2256085	2257335	putative pseudouridine transporter	psuT	protein-coding
2257429	2258367	pseudouridine-5'-phosphate glycosidase	psuG	protein-coding
2258355	2259296	putative pseudouridine kinase	psuK	protein-coding
2259719	2261410	fructose-specific PTS multiphosphoryl transfer protein FruA	fruA	protein-coding
2261427	2262365	1-phosphofructokinase	fruK	protein-coding
2262365	2263495	fructose-specific PTS multiphosphoryl transfer protein FruB	fruB	protein-coding
2263863	2265044	sugar exporter SetB	setB	protein-coding
2265041	2265295	putative metal-chelating domain-containing protein YeiW	yeiW	protein-coding
2265450	2266022	elongation factor P-like protein YeiP	yeiP	protein-coding
2266245	2267711	putative oxidoreductase YeiQ	yeiQ	protein-coding
2267829	2268815	zinc-binding GTPase YeiR	yeiR	protein-coding
2268854	2269567	lipid A-core phosphotransferase	lpxT	protein-coding
2269979	2270545	peptidoglycan endopeptidase/peptidoglycan L,D-carboxypeptidase	mepS	protein-coding
2270726	2272282	putative c-di-GMP phosphodiesterase PdeN	pdeN	protein-coding
2272364	2274178	putative oligopeptide ABC transporter periplasmic binding protein YejA	yejA	protein-coding
2274179	2275273	putative oligopeptide ABC transporter membrane subunit YejB	yejB	protein-coding
2275273	2276298	putative oligopeptide ABC transporter membrane subunit YejE	yejE	protein-coding
2276300	2277889	putative oligopeptide ABC transporter ATP binding subunit YejF	yejF	protein-coding
2277893	2278237	protein YejG	yejG	protein-coding
2278570	2279760	multidrug efflux pump Bcr	bcr	protein-coding
2279788	2280483	16S rRNA pseudouridine(516) synthase	rsuA	protein-coding
2280632	2282392	putative DNA repair helicase RadD	radD	protein-coding
2282517	2282801	50S ribosomal subunit protein L25	rplY	protein-coding
2282940	2283947	nucleoid-associated protein YejK	yejK	protein-coding
2284129	2284356	DUF1414 domain-containing protein YejL	yejL	protein-coding
2284376	2286136	lipopolysaccharide signal transducer LapC	lapC	protein-coding
2286211	2286287	tRNA-Pro	proL	tRNA
2286390	2290180	uncharacterized gene	yejO	pseudogene
2289065	2290045	IS5 family transposase and trans-activator	insH8	protein-coding
2290500	2291147	DNA-binding transcriptional dual regulator NarP	narP	protein-coding
2291358	2292410	holocytochrome c synthase CcmH component	ccmH	protein-coding
2292407	2292964	thiol:disulfide oxidoreductase CcmG	ccmG	protein-coding
2292961	2294904	holocytochrome c synthase CcmF component	ccmF	protein-coding
2294901	2295380	periplasmic heme chaperone	ccmE	protein-coding
2295377	2295586	cytochrome c maturation protein D	ccmD	protein-coding
2295583	2296320	cytochrome c maturation protein C	ccmC	protein-coding
2296362	2297024	cytochrome c maturation protein B	ccmB	protein-coding
2297021	2297644	cytochrome c maturation protein A	ccmA	protein-coding
2297657	2298259	periplasmic nitrate reductase cytochrome c protein	napC	protein-coding
2298269	2298718	periplasmic nitrate reductase cytochrome c550 protein	napB	protein-coding
2298715	2299578	ferredoxin-type protein NapH	napH	protein-coding
2299565	2300260	ferredoxin-type protein NapG	napG	protein-coding
2300267	2302753	periplasmic nitrate reductase subunit NapA	napA	protein-coding
2302750	2303013	NapA signal peptide-binding chaperone NapD	napD	protein-coding
2303003	2303497	ferredoxin-type protein	napF	protein-coding
2303606	2303770	uncharacterized protein YojO	yojO	protein-coding
2303905	2304393	serine protease inhibitor ecotin	eco	protein-coding
2305108	2306754	malate:quinone oxidoreductase	mqo	protein-coding
2306972	2308615	ABC transporter family protein/microcin J25 efflux protein	yojI	protein-coding
2308691	2309341	DNA oxidative demethylase	alkB	protein-coding
2309341	2310405	DNA-binding transcriptional dual regulator/DNA repair protein Ada	ada	protein-coding
2310479	2311534	FAD:protein FMN transferase	ftp	protein-coding
2311646	2312749	outer membrane porin C	ompC	protein-coding
2313084	2313176	small regulatory RNA MicF	micF	ncRNA
2313488	2316160	RcsD phosphotransferase	rcsD	protein-coding
2316177	2316827	DNA-binding transcriptional activator RcsB	rcsB	protein-coding
2317027	2319876	histidine kinase RcsC	rcsC	protein-coding
2320043	2321869	sensor histidine kinase AtoS	atoS	protein-coding
2321866	2323251	DNA-binding transcriptional activator/ornithine decarboxylase inhibitor AtoC	atoC	protein-coding
2323447	2324109	acetyl-CoA:acetoacetyl-CoA transferase subunit alpha	atoD	protein-coding
2324109	2324759	acetyl-CoA:acetoacetyl-CoA transferase subunit beta	atoA	protein-coding
2324756	2326078	short chain fatty acid transporter	atoE	protein-coding
2326109	2327293	acetyl-CoA acetyltransferase	atoB	protein-coding
2327367	2328143	DUF2135 domain-containing protein YfaP	yfaP	protein-coding
2328148	2329797	tandem DUF2300 domain-containing protein YfaQ	yfaQ	protein-coding
2329798	2334402	uncharacterized gene	yfaS	pseudogene
2334336	2334959	DUF1175 domain-containing protein YfaT	yfaT	protein-coding
2334956	2336644	DUF2138 domain-containing protein YfaA	yfaA	protein-coding
2336793	2339420	DNA gyrase subunit A	gyrA	protein-coding
2339567	2340289	bifunctional 3-demethylubiquinone-8 3-O-methyltransferase and 2-octaprenyl-6-hydroxyphenol methylase	ubiG	protein-coding
2340417	2344169	putative autotransporter adhesin YfaL	yfaL	protein-coding
2344594	2344737	protein YpaB	ypaB	protein-coding
2344865	2347150	ribonucleoside-diphosphate reductase 1 subunit alpha	nrdA	protein-coding
2347350	2347385	protein YoaM	yoaM	protein-coding
2347384	2348514	ribonucleoside-diphosphate reductase 1 subunit beta	nrdB	protein-coding
2348514	2348768	ferredoxin-like diferric-tyrosyl radical cofactor maintenance protein YfaE	yfaE	protein-coding
2348822	2349472	putative lipopolysaccharide kinase InaA	inaA	protein-coding
2349687	2349893	uncharacterized gene	yfaH	pseudogene
2349935	2351011	glycerophosphoryl diester phosphodiesterase GlpQ	glpQ	protein-coding
2351016	2352374	sn-glycerol 3-phosphate:phosphate antiporter	glpT	protein-coding
2352647	2354275	anaerobic glycerol-3-phosphate dehydrogenase subunit A	glpA	protein-coding
2354265	2355524	anaerobic glycerol-3-phosphate dehydrogenase subunit B	glpB	protein-coding
2355521	2356711	anaerobic glycerol-3-phosphate dehydrogenase subunit C	glpC	protein-coding
2356904	2357803	inactive recombination-promoting nuclease-like protein RpnE	rpnE	protein-coding
2357816	2358001	uncharacterized gene	ypaA	pseudogene
2358042	2358845	2-keto-3-deoxy-L-rhamnonate aldolase	yfaU	protein-coding
2358863	2360152	putative transporter YfaV	yfaV	protein-coding
2360209	2361414	L-rhamnonate dehydratase	rhmD	protein-coding
2361429	2362211	putative DNA-binding transcriptional regulator YfaX	yfaX	protein-coding
2362431	2363633	IPR008135 CinA family protein YfaY	yfaY	protein-coding
2363733	2364275	putative porin YfaZ	yfaZ	protein-coding
2364554	2364979	pyrimidine deoxynucleotide diphosphatase NudI	nudI	protein-coding
2365018	2365620	putative lipopolysaccharide core heptose(II)-phosphate phosphatase	ais	protein-coding
2365910	2367067	UDP-4-amino-4-deoxy-L-arabinose aminotransferase	arnB	protein-coding
2367071	2368039	undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase	arnC	protein-coding
2368039	2370021	fused UDP-4-amino-4-deoxy-L-arabinose formyltransferase/UDP-glucuronate dehydrogenase	arnA	protein-coding
2370018	2370908	putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD	arnD	protein-coding
2370908	2372560	lipid IVA 4-amino-4-deoxy-L-arabinosyltransferase	arnT	protein-coding
2372557	2372892	undecaprenyl-phosphate-alpha-L-Ara4N flippase - ArnE subunit	arnE	protein-coding
2372892	2373278	undecaprenyl-phosphate-alpha-L-Ara4N flippase - ArnF subunit	arnF	protein-coding
2373272	2373538	signal transduction protein PmrD	pmrD	protein-coding
2373648	2375003	o-succinylbenzoate--CoA ligase	menE	protein-coding
2375000	2375962	o-succinylbenzoate synthase	menC	protein-coding
2375962	2376819	1,4-dihydroxy-2-naphthoyl-CoA synthase	menB	protein-coding
2376834	2377592	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase	menH	protein-coding
2377589	2379259	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase	menD	protein-coding
2379348	2380643	isochorismate synthase MenF	menF	protein-coding
2380722	2381027	tail-anchored inner membrane protein ElaB	elaB	protein-coding
2381082	2381543	putative acetyltransferase ElaA	elaA	protein-coding
2381608	2382525	ribonuclease BN	rbn	protein-coding
2382713	2383924	protease ElaD	elaD	protein-coding
2383995	2385722	IPR002035/DUF3520 domain-containing protein YfbK	yfbK	protein-coding
2385860	2386831	putative peptidase YfbL	yfbL	protein-coding
2386934	2387437	DUF1877 domain-containing protein YfbM	yfbM	protein-coding
2387710	2388426	uncharacterized protein YfbN	yfbN	protein-coding
2388635	2389057	uncharacterized protein YfbO	yfbO	protein-coding
2389116	2389964	uncharacterized protein YfbP	yfbP	protein-coding
2390048	2391505	NADH:quinone oxidoreductase subunit N	nuoN	protein-coding
2391512	2393041	NADH:quinone oxidoreductase subunit M	nuoM	protein-coding
2393205	2395046	NADH:quinone oxidoreductase subunit L	nuoL	protein-coding
2395043	2395345	NADH:quinone oxidoreductase subunit K	nuoK	protein-coding
2395342	2395896	NADH:quinone oxidoreductase subunit J	nuoJ	protein-coding
2395908	2396450	NADH:quinone oxidoreductase subunit I	nuoI	protein-coding
2396465	2397442	NADH:quinone oxidoreductase subunit H	nuoH	protein-coding
2397439	2400165	NADH:quinone oxidoreductase subunit G	nuoG	protein-coding
2400218	2401555	NADH:quinone oxidoreductase subunit F	nuoF	protein-coding
2401552	2402052	NADH:quinone oxidoreductase subunit E	nuoE	protein-coding
2402055	2403845	NADH:quinone oxidoreductase subunit CD	nuoC	protein-coding
2403951	2404613	NADH:quinone oxidoreductase subunit B	nuoB	protein-coding
2404629	2405072	NADH:quinone oxidoreductase subunit A	nuoA	protein-coding
2405703	2406641	DNA-binding transcriptional dual regulator LrhA	lrhA	protein-coding
2407561	2408778	glutamate--pyruvate aminotransferase AlaA	alaA	protein-coding
2408862	2409461	dCMP phosphohydrolase	yfbR	protein-coding
2409520	2411352	putative transporter YfbS	yfbS	protein-coding
2411439	2412089	hexitol phosphatase A	hxpA	protein-coding
2412100	2412594	PF03887 family protein YfbU	yfbU	protein-coding
2412677	2413132	PF04217 family membrane protein YfbV	yfbV	protein-coding
2413470	2414672	acetate kinase	ackA	protein-coding
2414747	2416891	phosphate acetyltransferase	pta	protein-coding
2417081	2418601	putative transporter YfcC	yfcC	protein-coding
2418634	2419176	putative Nudix hydrolase YfcD	yfcD	protein-coding
2419234	2419788	phosphodiesterase YfcE	yfcE	protein-coding
2419841	2420485	glutathione S-transferase YfcF	yfcF	protein-coding
2420621	2421268	disulfide bond oxidoreductase YfcG	yfcG	protein-coding
2421325	2421687	dihydroneopterin triphosphate 2'-epimerase	folX	protein-coding
2421708	2422601	epimerase family protein YfcH	yfcH	protein-coding
2422649	2423539	recombination-promoting nuclease RpnB	rpnB	protein-coding
2423736	2424509	lysine/arginine/ornithine ABC transporter/histidine ABC transporter, ATP binding subunit	hisP	protein-coding
2424517	2425233	lysine/arginine/ornithine ABC transporter/histidine ABC transporter, membrane subunit HisM	hisM	protein-coding
2425230	2425916	lysine/arginine/ornithine ABC transporter/histidine ABC transporter, membrane subunit HisQ	hisQ	protein-coding
2426006	2426788	histidine ABC transporter periplasmic binding protein	hisJ	protein-coding
2427009	2427791	lysine/arginine/ornithine ABC transporter periplasmic binding protein	argT	protein-coding
2428057	2428626	flavin prenyltransferase	ubiX	protein-coding
2428721	2430238	amidophosphoribosyltransferase	purF	protein-coding
2430275	2430763	colicin V production protein	cvpA	protein-coding
2431022	2431684	cell division protein DedD	dedD	protein-coding
2431674	2432942	bifunctional folylpolyglutamate synthetase/dihydrofolate synthetase	folC	protein-coding
2433012	2433926	acetyl-CoA carboxyltransferase subunit beta	accD	protein-coding
2434082	2434741	DedA family protein DedA	dedA	protein-coding
2434824	2435636	tRNA pseudouridine(38-40) synthase	truA	protein-coding
2435636	2436649	putative semialdehyde dehydrogenase Usg	usg	protein-coding
2436715	2437851	erythronate-4-phosphate dehydrogenase	pdxB	protein-coding
2437950	2438945	putative flagella assembly protein	flk	protein-coding
2438942	2440120	putative transporter YfcJ	yfcJ	protein-coding
2440385	2441605	3-oxoacyl-[acyl carrier protein] synthase 1	fabB	protein-coding
2441764	2443770	fused tRNA 5-aminomethyl-2-thiouridylate methyltransferase and tRNA 5-aminomethyl-2-thiouridylate synthase	mnmC	protein-coding
2443891	2444169	PF08891 family protein YfcL	yfcL	protein-coding
2444203	2444751	EF-P-Lys34 hydroxylase	epmC	protein-coding
2444751	2445560	putative transporter YfcA	yfcA	protein-coding
2445560	2446384	peptidoglycan DD-endopeptidase/peptidoglycan LD-endopeptidase	mepA	protein-coding
2446388	2447473	chorismate synthase	aroC	protein-coding
2447508	2448440	ribosomal protein L3 N(5)-glutamine methyltransferase	prmB	protein-coding
2448606	2449157	putative endonuclease SmrB	smrB	protein-coding
2449228	2450049	DUF2544 domain-containing protein YfcO	yfcO	protein-coding
2450051	2450590	putative fimbrial protein YfcP	yfcP	protein-coding
2450587	2451075	putative fimbrial protein YfcQ	yfcQ	protein-coding
2451072	2451584	putative fimbrial protein YfcR	yfcR	protein-coding
2451584	2452336	putative fimbrial chaperone YfcS	yfcS	protein-coding
2452356	2455001	uncharacterized gene	yfcU	pseudogene
2455083	2455646	putative fimbrial protein YfcV	yfcV	protein-coding
2456327	2456812	phosphohistidine phosphatase SixA	sixA	protein-coding
2457015	2459159	3-hydroxyacyl-CoA dehydrogenase FadJ	fadJ	protein-coding
2459159	2460469	3-ketoacyl-CoA thiolase FadI	fadI	protein-coding
2460650	2460934	DUF406 domain-containing protein YfcZ	yfcZ	protein-coding
2461306	2462646	long-chain fatty acid outer membrane channel/bacteriophage T2 receptor	fadL	protein-coding
2463012	2464070	protein YfdF	yfdF	protein-coding
2464252	2465007	intermembrane phospholipid transport system - outer membrane lipoprotein MlaA	mlaA	protein-coding
2465301	2466233	inner membrane protein YfdC	yfdC	protein-coding
2466309	2466383	tRNA-Arg	argW	tRNA
2466545	2467702	prophage CPS-53 integrase	intS	protein-coding
2467855	2468217	putative bactoprenol-linked glucose translocase	yfdG	protein-coding
2468214	2469134	bactoprenol glucosyl transferase	yfdH	protein-coding
2469131	2470462	serotype-specific glucosyl transferase YfdI	yfdI	protein-coding
2470497	2470643	toxic protein YodE	yodE	protein-coding
2470803	2471105	uncharacterized gene	tfaS	pseudogene
2471077	2471517	putative tail fiber assembly protein YfdK	yfdK	protein-coding
2471544	2472062	uncharacterized gene	yfdL	pseudogene
2472112	2472387	putative methyltransferase YfdM	yfdM	protein-coding
2472387	2472881	uncharacterized protein YfdN	yfdN	protein-coding
2472878	2473246	protein YdfO	yfdO	protein-coding
2473604	2473966	uncharacterized protein YfdP	yfdP	protein-coding
2474032	2474856	DUF2303 domain-containing protein YfdQ	yfdQ	protein-coding
2474984	2475520	5'-deoxynucleotidase	yfdR	protein-coding
2475511	2475873	protein YfdS	yfdS	protein-coding
2475873	2476178	protein YfdT	yfdT	protein-coding
2476094	2476234	putative uncharacterized protein YpdJ	ypdJ	protein-coding
2476310	2476510	prophage CPS-53 recombination directionality factor and response regulator inhibitor	torI	protein-coding
2476584	2476598	uncharacterized gene	pawZ	pseudogene
2476694	2477629	DNA-binding transcriptional dual regulator DsdC	dsdC	protein-coding
2477847	2479184	D-serine transporter	dsdX	protein-coding
2479202	2480530	D-serine ammonia-lyase	dsdA	protein-coding
2480638	2482176	tripartite efflux pump membrane subunit EmrY	emrY	protein-coding
2482176	2483339	tripartite efflux pump membrane fusion protein EmrK	emrK	protein-coding
2483729	2483758	protein EvgL	evgL	protein-coding
2483755	2484369	DNA-binding transcriptional activator EvgA	evgA	protein-coding
2484374	2487967	sensor histidine kinase EvgS	evgS	protein-coding
2488023	2489168	acetyl-CoA:oxalate CoA-transferase	yfdE	protein-coding
2489242	2490186	putative transport protein YfdV	yfdV	protein-coding
2490256	2491950	oxalyl-CoA decarboxylase	oxc	protein-coding
2492004	2493254	formyl-CoA transferase	frc	protein-coding
2493767	2494402	protein YfdX	yfdX	protein-coding
2494698	2494973	colanic acid synthesis putative lipoprotein YpdI	ypdI	protein-coding
2495050	2495292	DUF2545 domain-containing protein YfdY	yfdY	protein-coding
2495645	2496565	palmitoleoyl acyltransferase	lpxP	protein-coding
2496921	2496992	putative membrane protein YpdK	ypdK	protein-coding
2497057	2498295	glutamate--pyruvate aminotransferase AlaC	alaC	protein-coding
2498671	2500368	sensor histidine kinase PyrS	pyrS	protein-coding
2500383	2501117	DNA-binding transcriptional activator PyrR	pyrR	protein-coding
